Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-05-30 00:00:00+00:00,534.75,534.75,516.5,522.75,14.5,522.0,102436.0,238292.0
2018-05-31 00:00:00+00:00,522.0,531.75,515.25,526.0,4.25,526.25,81075.0,235218.0
2018-06-01 00:00:00+00:00,524.5,528.0,518.25,523.0,3.0,523.25,81164.0,233146.0
2018-06-04 00:00:00+00:00,520.25,521.25,503.25,506.25,18.0,505.25,100599.0,231171.0
2018-06-05 00:00:00+00:00,507.0,518.75,506.0,509.5,4.75,510.0,103428.0,223929.0
2018-06-06 00:00:00+00:00,509.75,531.25,507.5,522.0,9.75,519.75,99155.0,213578.0
2018-06-07 00:00:00+00:00,522.25,537.0,519.25,526.0,7.0,526.75,112859.0,210759.0
2018-06-08 00:00:00+00:00,528.25,533.5,513.25,522.5,6.75,520.0,122899.0,194645.0
2018-06-11 00:00:00+00:00,520.0,528.25,511.75,514.0,5.5,514.5,90178.0,179640.0
2018-06-12 00:00:00+00:00,514.75,538.25,510.25,534.0,20.0,534.5,138335.0,157417.0
2018-06-13 00:00:00+00:00,535.0,538.75,514.5,517.5,18.0,516.5,117337.0,143009.0
2018-06-14 00:00:00+00:00,515.75,517.0,498.25,504.25,15.0,501.5,111279.0,122812.0
2018-06-15 00:00:00+00:00,502.5,508.75,487.0,495.75,2.0,499.5,96366.0,116719.0
2018-06-18 00:00:00+00:00,495.5,499.0,487.75,488.0,9.5,490.0,73885.0,103870.0
2018-06-19 00:00:00+00:00,489.5,490.5,467.5,479.0,12.25,477.75,99138.0,94998.0
2018-06-20 00:00:00+00:00,477.75,490.0,474.75,490.0,10.5,488.25,54113.0,80914.0
2018-06-21 00:00:00+00:00,490.75,498.75,482.25,496.25,7.0,495.25,48494.0,69663.0
2018-06-22 00:00:00+00:00,495.75,497.5,487.0,489.5,4.0,491.25,33175.0,57812.0
2018-06-25 00:00:00+00:00,490.25,491.0,473.75,477.0,14.5,476.75,25405.0,38143.0
2018-06-26 00:00:00+00:00,477.5,481.75,466.75,471.0,7.25,469.5,26629.0,29843.0
2018-06-27 00:00:00+00:00,470.0,482.25,468.75,478.75,10.0,479.5,29780.0,22186.0
2018-06-28 00:00:00+00:00,478.0,485.25,474.25,478.0,,479.5,13014.0,13935.0
2018-06-29 00:00:00+00:00,479.5,504.0,479.5,497.0,18.0,497.5,2248.0,3312.0
2018-07-02 00:00:00+00:00,497.25,505.0,477.25,479.75,17.25,480.25,881.0,1837.0
2018-07-03 00:00:00+00:00,480.75,495.0,480.5,491.0,11.25,491.5,719.0,1080.0
2018-07-05 00:00:00+00:00,507.0,508.75,503.25,506.0,12.5,504.0,166.0,550.0
2018-07-06 00:00:00+00:00,500.25,513.25,500.25,513.25,8.75,512.75,161.0,398.0
2018-07-09 00:00:00+00:00,509.5,509.75,504.25,506.25,5.0,507.75,55.0,251.0
2018-07-10 00:00:00+00:00,503.0,503.0,485.75,489.5,18.25,489.5,51.0,199.0
2018-07-11 00:00:00+00:00,489.5,503.0,476.25,476.25,19.75,469.75,14.0,159.0
2018-07-12 00:00:00+00:00,484.25,484.25,484.25,484.25,12.75,482.5,74.0,145.0
2018-07-13 00:00:00+00:00,482.5,484.25,481.5,,1.0,481.5,8.0,102.0
2018-07-16 00:00:00+00:00,495.25,498.5,486.75,487.0,8.5,488.5,58860.0,200581.0
2018-07-17 00:00:00+00:00,491.0,504.25,487.75,497.75,9.25,497.75,67579.0,202116.0
2018-07-18 00:00:00+00:00,498.25,505.0,493.75,493.75,3.25,494.5,52440.0,204185.0
2018-07-19 00:00:00+00:00,493.75,505.75,490.25,503.0,9.75,504.25,52231.0,204581.0
2018-07-20 00:00:00+00:00,503.5,519.75,503.0,515.0,11.75,516.0,73738.0,201721.0
2018-07-23 00:00:00+00:00,518.0,522.5,512.0,513.25,2.25,513.75,71773.0,200365.0
2018-07-24 00:00:00+00:00,511.5,516.25,505.25,509.0,3.5,510.25,64712.0,193046.0
2018-07-25 00:00:00+00:00,511.5,545.25,511.25,542.0,32.5,542.75,137261.0,187451.0
2018-07-26 00:00:00+00:00,544.75,553.75,532.0,534.75,6.25,536.5,125132.0,191216.0
2018-07-27 00:00:00+00:00,536.0,542.0,525.25,529.0,6.0,530.5,90190.0,192052.0
2018-07-30 00:00:00+00:00,533.5,551.75,532.75,545.0,16.0,546.5,67887.0,184251.0
2018-07-31 00:00:00+00:00,545.5,565.0,540.5,554.25,7.25,553.75,91335.0,181736.0
2018-08-01 00:00:00+00:00,555.25,566.0,550.75,558.0,4.5,558.25,96499.0,179246.0
2018-08-02 00:00:00+00:00,559.5,593.0,559.0,560.5,2.25,560.5,146930.0,179555.0
2018-08-03 00:00:00+00:00,563.25,567.75,554.0,556.5,4.25,556.25,75713.0,169582.0
2018-08-06 00:00:00+00:00,555.0,576.25,551.5,572.25,18.25,574.5,73095.0,164828.0
2018-08-07 00:00:00+00:00,575.25,586.25,564.0,566.5,6.25,568.25,99105.0,159705.0
2018-08-08 00:00:00+00:00,569.75,578.0,564.5,570.0,1.75,570.0,88390.0,149005.0
2018-08-09 00:00:00+00:00,570.5,573.75,561.75,563.0,5.5,564.5,79359.0,137871.0
2018-08-10 00:00:00+00:00,564.75,574.0,545.75,545.25,17.75,546.75,108799.0,123435.0
2018-08-13 00:00:00+00:00,546.5,549.75,530.5,535.5,13.25,533.5,85679.0,112547.0
2018-08-14 00:00:00+00:00,534.75,544.25,532.25,542.0,8.25,541.75,55866.0,95473.0
2018-08-15 00:00:00+00:00,541.0,542.75,528.25,532.5,9.5,532.25,69346.0,88448.0
2018-08-16 00:00:00+00:00,532.5,547.75,531.0,542.0,10.0,542.25,44219.0,75624.0
2018-08-17 00:00:00+00:00,542.25,563.0,535.0,560.0,18.25,560.5,64769.0,71773.0
2018-08-20 00:00:00+00:00,562.0,562.75,540.75,551.0,18.25,542.25,41552.0,67496.0
2018-08-21 00:00:00+00:00,544.0,544.25,526.25,529.0,15.0,527.25,36485.0,62478.0
2018-08-22 00:00:00+00:00,526.5,533.0,520.5,528.25,1.25,526.0,32422.0,57530.0
2018-08-23 00:00:00+00:00,529.0,535.5,515.5,523.25,4.0,522.0,34451.0,51250.0
2018-08-24 00:00:00+00:00,522.0,522.0,513.0,513.5,7.25,514.75,42904.0,48854.0
2018-08-27 00:00:00+00:00,513.75,513.75,499.0,501.0,15.5,499.25,22306.0,30989.0
2018-08-28 00:00:00+00:00,500.25,504.25,494.75,498.0,1.0,498.25,21193.0,24675.0
2018-08-29 00:00:00+00:00,498.0,520.0,496.0,515.5,17.5,515.75,21052.0,16849.0
2018-08-30 00:00:00+00:00,517.5,525.0,502.5,508.0,7.75,508.0,14685.0,9521.0
2018-08-31 00:00:00+00:00,509.5,522.25,509.5,519.0,10.5,518.5,670.0,3448.0
2018-09-04 00:00:00+00:00,507.25,507.25,491.75,502.25,15.75,502.75,2246.0,3222.0
2018-09-05 00:00:00+00:00,501.0,507.5,495.0,495.0,9.0,493.75,839.0,1188.0
2018-09-06 00:00:00+00:00,490.0,492.25,487.75,488.0,7.75,486.0,243.0,746.0
2018-09-07 00:00:00+00:00,487.0,487.25,487.0,487.25,0.25,486.25,98.0,417.0
2018-09-10 00:00:00+00:00,488.0,500.0,488.0,500.0,17.75,504.0,49.0,232.0
2018-09-11 00:00:00+00:00,497.25,497.25,497.25,497.25,10.25,493.75,1.0,206.0
2018-09-12 00:00:00+00:00,500.5,503.5,478.0,478.5,12.0,481.75,28.0,202.0
2018-09-13 00:00:00+00:00,473.0,473.0,473.0,473.0,10.0,471.75,2.0,188.0
2018-09-14 00:00:00+00:00,478.5,479.75,478.5,479.5,8.25,480.0,256.0,135.0
2018-09-17 00:00:00+00:00,513.5,517.75,505.5,507.75,5.25,506.25,68269.0,229952.0
2018-09-18 00:00:00+00:00,506.25,514.25,506.25,511.0,4.25,510.5,54923.0,229017.0
2018-09-19 00:00:00+00:00,511.0,523.25,510.5,523.75,12.0,522.5,56818.0,228156.0
2018-09-20 00:00:00+00:00,523.0,525.75,516.0,521.0,1.5,524.0,55436.0,227679.0
2018-09-21 00:00:00+00:00,521.0,524.25,515.0,522.5,2.25,521.75,41310.0,227072.0
2018-09-24 00:00:00+00:00,522.0,531.25,520.0,527.0,5.25,527.0,53196.0,222037.0
2018-09-25 00:00:00+00:00,525.25,525.75,516.25,522.0,6.25,520.75,60760.0,218971.0
2018-09-26 00:00:00+00:00,521.25,527.0,516.75,518.25,3.25,517.5,45203.0,219119.0
2018-09-27 00:00:00+00:00,517.75,522.0,511.25,515.0,4.5,513.0,55706.0,217974.0
2018-09-28 00:00:00+00:00,513.0,518.0,505.5,510.5,4.0,509.0,70538.0,222510.0
2018-10-01 00:00:00+00:00,510.0,515.25,505.5,510.75,0.5,509.5,66037.0,226520.0
2018-10-02 00:00:00+00:00,510.5,524.75,505.25,520.25,9.75,519.25,89252.0,228702.0
2018-10-03 00:00:00+00:00,521.25,527.25,514.25,516.75,4.0,515.25,63827.0,232152.0
2018-10-04 00:00:00+00:00,515.75,520.75,513.75,519.0,2.75,518.0,51143.0,233472.0
2018-10-05 00:00:00+00:00,518.0,524.5,517.25,523.0,3.0,521.0,47447.0,229927.0
2018-10-08 00:00:00+00:00,524.0,525.5,512.75,513.25,7.0,514.0,52634.0,227293.0
2018-10-09 00:00:00+00:00,513.5,520.5,511.25,516.0,1.0,515.0,44914.0,227345.0
2018-10-10 00:00:00+00:00,516.75,518.0,510.25,510.25,4.5,510.5,40777.0,227064.0
2018-10-11 00:00:00+00:00,510.75,521.0,506.5,507.75,2.5,508.0,69134.0,227811.0
2018-10-12 00:00:00+00:00,507.75,519.0,507.25,517.25,9.25,517.25,53301.0,227678.0
2018-10-15 00:00:00+00:00,518.5,526.0,514.75,525.0,7.75,525.0,49820.0,227148.0
2018-10-16 00:00:00+00:00,525.75,527.0,521.0,524.75,1.5,523.5,48686.0,226417.0
2018-10-17 00:00:00+00:00,524.0,524.5,516.0,516.0,6.0,517.5,37192.0,223668.0
2018-10-18 00:00:00+00:00,516.0,519.5,511.0,512.5,4.5,513.0,40006.0,224574.0
2018-10-19 00:00:00+00:00,513.0,518.5,510.75,513.75,1.75,514.75,43842.0,224462.0
2018-10-22 00:00:00+00:00,514.0,514.25,507.25,508.5,6.75,508.0,46409.0,226805.0
2018-10-23 00:00:00+00:00,508.0,511.25,505.25,509.0,1.0,509.0,46058.0,228959.0
2018-10-24 00:00:00+00:00,510.0,510.75,496.75,500.25,9.5,499.5,72936.0,232861.0
2018-10-25 00:00:00+00:00,499.75,499.75,485.5,486.25,12.25,487.25,78135.0,244253.0
2018-10-26 00:00:00+00:00,487.25,506.75,486.75,504.75,18.0,505.25,134980.0,257018.0
2018-10-29 00:00:00+00:00,510.25,515.0,502.75,507.25,2.0,507.25,63057.0,248387.0
2018-10-30 00:00:00+00:00,505.5,507.5,497.0,499.75,7.5,499.75,66427.0,248652.0
2018-10-31 00:00:00+00:00,499.75,501.75,490.0,500.0,0.75,500.5,79746.0,252246.0
2018-11-01 00:00:00+00:00,500.5,510.0,500.5,505.5,7.5,508.0,83496.0,257090.0
2018-11-02 00:00:00+00:00,507.0,509.75,502.75,508.5,0.75,508.75,54361.0,244495.0
2018-11-05 00:00:00+00:00,511.25,512.25,503.75,506.75,1.5,507.25,52289.0,237683.0
2018-11-06 00:00:00+00:00,507.25,514.0,505.5,511.25,4.75,512.0,48060.0,230708.0
2018-11-07 00:00:00+00:00,512.5,514.25,507.25,509.5,1.75,510.25,62984.0,223720.0
2018-11-08 00:00:00+00:00,509.5,517.0,503.25,507.5,2.5,507.75,102747.0,208862.0
2018-11-09 00:00:00+00:00,507.5,508.0,500.75,503.5,5.75,502.0,86759.0,189343.0
2018-11-12 00:00:00+00:00,502.5,520.75,501.25,519.25,17.75,519.75,108595.0,169611.0
2018-11-13 00:00:00+00:00,518.25,520.75,506.0,508.25,12.0,507.75,98091.0,152417.0
2018-11-14 00:00:00+00:00,507.75,511.0,501.0,505.5,4.75,503.0,76508.0,132123.0
2018-11-15 00:00:00+00:00,503.0,509.0,503.0,505.5,2.5,505.5,67621.0,114955.0
2018-11-16 00:00:00+00:00,505.25,508.75,502.75,506.75,1.25,506.75,40155.0,107369.0
2018-11-19 00:00:00+00:00,506.5,507.25,496.0,498.0,8.25,498.5,40624.0,98037.0
2018-11-20 00:00:00+00:00,497.5,502.5,495.5,500.75,2.25,500.75,34871.0,91350.0
2018-11-21 00:00:00+00:00,500.5,504.25,497.75,498.0,2.0,498.75,27611.0,80977.0
2018-11-23 00:00:00+00:00,500.75,507.5,499.0,499.75,1.0,499.75,42918.0,75265.0
2018-11-26 00:00:00+00:00,503.0,508.0,501.75,507.5,7.75,507.5,35142.0,50951.0
2018-11-27 00:00:00+00:00,506.75,510.0,497.5,497.5,9.5,498.0,25180.0,34721.0
2018-11-28 00:00:00+00:00,497.25,501.0,494.75,498.0,0.5,497.5,19168.0,24522.0
2018-11-29 00:00:00+00:00,497.75,501.5,492.0,496.25,1.0,496.5,14821.0,15125.0
2018-11-30 00:00:00+00:00,497.25,517.75,497.25,515.5,19.25,515.75,2360.0,4235.0
2018-12-03 00:00:00+00:00,524.25,525.25,514.0,515.0,,515.75,2392.0,2923.0
2018-12-04 00:00:00+00:00,514.75,520.75,514.75,520.25,3.5,519.25,325.0,914.0
2018-12-05 00:00:00+00:00,515.0,515.5,513.25,515.5,4.75,514.5,54.0,621.0
2018-12-06 00:00:00+00:00,510.0,510.0,499.5,505.5,9.25,505.25,516.0,568.0
2018-12-07 00:00:00+00:00,505.25,519.0,505.25,517.0,14.25,519.5,59.0,237.0
2018-12-10 00:00:00+00:00,522.75,522.75,521.5,521.75,4.75,514.75,12.0,139.0
2018-12-11 00:00:00+00:00,511.0,511.0,511.0,511.0,5.0,509.75,5.0,89.0
2018-12-12 00:00:00+00:00,520.75,520.75,517.75,517.75,5.5,515.25,12.0,81.0
2018-12-13 00:00:00+00:00,526.25,526.25,526.25,526.25,12.5,527.75,43.0,67.0
2018-12-14 00:00:00+00:00,527.75,527.75,526.25,,,527.75,21.0,59.0
2018-12-17 00:00:00+00:00,531.0,537.5,530.0,535.0,5.25,535.25,34446.0,230952.0
2018-12-18 00:00:00+00:00,534.0,536.0,530.0,533.0,2.5,532.75,37350.0,231075.0
2018-12-19 00:00:00+00:00,532.75,533.0,521.5,523.75,10.25,522.5,47373.0,228145.0
2018-12-20 00:00:00+00:00,524.0,527.75,521.25,525.0,1.0,523.5,43776.0,225997.0
2018-12-21 00:00:00+00:00,522.0,524.0,512.25,513.5,9.5,514.0,59838.0,224569.0
2018-12-24 00:00:00+00:00,512.0,518.0,511.0,516.0,2.5,516.5,21205.0,223589.0
2018-12-26 00:00:00+00:00,516.0,520.75,509.0,512.5,6.5,510.0,30797.0,221276.0
2018-12-27 00:00:00+00:00,511.5,513.0,507.25,509.5,0.5,510.5,30626.0,222818.0
2018-12-28 00:00:00+00:00,511.75,514.0,509.5,511.25,1.0,511.5,23190.0,225538.0
2018-12-31 00:00:00+00:00,512.75,513.5,503.0,503.0,8.25,503.25,36551.0,228114.0
2019-01-02 00:00:00+00:00,502.5,510.75,501.25,507.0,3.5,506.75,42685.0,234569.0
2019-01-03 00:00:00+00:00,506.75,516.0,506.0,513.75,7.0,513.75,46639.0,236912.0
2019-01-04 00:00:00+00:00,513.75,518.75,513.0,516.0,3.25,517.0,41760.0,230928.0
2019-01-07 00:00:00+00:00,518.0,518.5,513.5,516.5,0.25,516.75,38861.0,229028.0
2019-01-08 00:00:00+00:00,516.5,524.5,513.75,519.25,1.0,517.75,66424.0,230670.0
2019-01-09 00:00:00+00:00,519.75,523.75,518.25,519.5,2.25,520.0,50717.0,223409.0
2019-01-10 00:00:00+00:00,519.5,520.25,512.0,513.75,6.25,513.75,53147.0,221671.0
2019-01-11 00:00:00+00:00,513.75,523.75,512.75,519.75,5.75,519.5,66720.0,221745.0
2019-01-14 00:00:00+00:00,520.0,523.5,513.25,514.75,5.25,514.25,44072.0,219845.0
2019-01-15 00:00:00+00:00,514.75,518.25,508.0,511.5,3.25,511.0,54336.0,221141.0
2019-01-16 00:00:00+00:00,511.0,516.75,511.0,511.5,1.5,512.5,41124.0,221070.0
2019-01-17 00:00:00+00:00,511.5,522.5,509.0,517.75,5.25,517.75,63323.0,221137.0
2019-01-18 00:00:00+00:00,519.75,522.75,515.25,517.5,,517.75,46812.0,222226.0
2019-01-22 00:00:00+00:00,518.0,526.0,514.25,521.25,3.5,521.25,73695.0,219837.0
2019-01-23 00:00:00+00:00,522.5,527.0,521.75,526.5,4.75,526.0,42002.0,217246.0
2019-01-24 00:00:00+00:00,527.0,529.0,521.0,521.0,4.5,521.5,48426.0,215437.0
2019-01-25 00:00:00+00:00,520.5,523.0,516.75,521.0,1.5,520.0,48880.0,213611.0
2019-01-28 00:00:00+00:00,520.75,523.5,516.0,518.5,1.25,518.75,41835.0,212757.0
2019-01-29 00:00:00+00:00,517.75,522.0,510.75,514.75,5.5,513.25,72224.0,210317.0
2019-01-30 00:00:00+00:00,513.25,518.0,511.75,517.5,3.5,516.75,44727.0,216028.0
2019-01-31 00:00:00+00:00,517.75,520.0,513.5,516.5,0.25,516.5,53150.0,215360.0
2019-02-01 00:00:00+00:00,515.75,526.5,515.25,524.5,7.75,524.25,80178.0,212426.0
2019-02-04 00:00:00+00:00,524.75,529.0,521.25,525.25,1.5,525.75,70166.0,209028.0
2019-02-05 00:00:00+00:00,525.25,528.25,520.5,527.0,1.5,527.25,70137.0,199887.0
2019-02-06 00:00:00+00:00,527.0,531.25,524.25,526.0,1.25,526.0,68638.0,192641.0
2019-02-07 00:00:00+00:00,525.25,525.25,512.5,514.75,12.75,513.25,105092.0,185099.0
2019-02-08 00:00:00+00:00,514.75,522.25,513.5,518.0,4.0,517.25,103906.0,172918.0
2019-02-11 00:00:00+00:00,517.25,519.0,512.0,518.25,1.0,518.25,77753.0,153793.0
2019-02-12 00:00:00+00:00,518.5,520.75,514.5,520.0,1.75,520.0,77834.0,140753.0
2019-02-13 00:00:00+00:00,519.75,524.0,518.75,521.5,2.25,522.25,67078.0,126925.0
2019-02-14 00:00:00+00:00,521.5,522.5,506.0,507.25,15.25,507.0,94781.0,109819.0
2019-02-15 00:00:00+00:00,507.75,508.75,499.25,503.25,2.75,504.25,77011.0,102542.0
2019-02-19 00:00:00+00:00,502.5,505.25,488.5,490.25,14.5,489.75,71868.0,96146.0
2019-02-20 00:00:00+00:00,490.0,493.5,475.75,479.75,9.0,480.75,73487.0,89149.0
2019-02-21 00:00:00+00:00,480.5,491.5,480.25,487.0,5.75,486.5,45334.0,82025.0
2019-02-22 00:00:00+00:00,488.5,493.0,484.5,486.75,0.25,486.75,40251.0,71460.0
2019-02-25 00:00:00+00:00,489.75,490.0,466.25,466.25,20.0,466.75,42420.0,41519.0
2019-02-26 00:00:00+00:00,467.0,468.0,456.25,460.25,6.5,460.25,33016.0,24998.0
2019-02-27 00:00:00+00:00,460.25,467.75,458.25,459.5,0.75,461.0,14500.0,11353.0
2019-02-28 00:00:00+00:00,460.25,461.0,451.25,452.75,8.5,452.5,3977.0,3986.0
2019-03-01 00:00:00+00:00,452.5,457.75,440.5,454.0,1.5,454.0,1743.0,1516.0
2019-03-04 00:00:00+00:00,454.75,454.75,446.0,448.25,7.25,446.75,883.0,842.0
2019-03-05 00:00:00+00:00,446.0,454.25,445.75,453.75,7.5,454.25,324.0,622.0
2019-03-06 00:00:00+00:00,449.25,450.5,443.5,443.5,13.75,440.5,151.0,375.0
2019-03-07 00:00:00+00:00,435.25,437.25,435.25,435.25,9.0,431.5,69.0,182.0
2019-03-08 00:00:00+00:00,435.5,437.0,435.5,437.0,1.25,432.75,31.0,84.0
2019-03-11 00:00:00+00:00,430.25,430.25,425.25,425.25,10.5,422.25,32.0,65.0
2019-03-12 00:00:00+00:00,424.0,444.5,424.0,444.5,24.0,446.25,19.0,39.0
2019-03-13 00:00:00+00:00,439.75,441.5,438.5,441.5,6.0,440.25,10.0,23.0
2019-03-14 00:00:00+00:00,440.25,447.75,438.5,447.75,8.0,448.25,23.0,9.0
2019-03-15 00:00:00+00:00,452.5,463.0,448.5,460.25,9.5,462.25,65527.0,235487.0
2019-03-18 00:00:00+00:00,463.25,464.0,454.5,457.0,5.5,456.75,55358.0,234462.0
2019-03-19 00:00:00+00:00,458.5,462.5,453.75,456.5,0.25,456.5,51782.0,236844.0
2019-03-20 00:00:00+00:00,456.75,465.0,454.75,464.75,8.25,464.75,52588.0,237453.0
2019-03-21 00:00:00+00:00,464.5,467.5,458.0,466.25,1.75,466.5,56559.0,234042.0
2019-03-22 00:00:00+00:00,465.5,473.75,463.75,465.0,0.5,466.0,68775.0,237480.0
2019-03-25 00:00:00+00:00,466.5,471.75,463.0,468.75,3.5,469.5,56185.0,233058.0
2019-03-26 00:00:00+00:00,470.0,478.0,467.0,469.75,0.25,469.25,81580.0,226595.0
2019-03-27 00:00:00+00:00,470.0,471.75,466.5,469.5,0.25,469.5,58676.0,226226.0
2019-03-28 00:00:00+00:00,468.5,469.25,459.5,463.75,5.0,464.5,47846.0,224347.0
2019-03-29 00:00:00+00:00,463.75,464.75,452.5,459.25,6.75,457.75,69561.0,221638.0
2019-04-01 00:00:00+00:00,459.5,468.25,456.0,462.75,5.0,462.75,58685.0,220632.0
2019-04-02 00:00:00+00:00,463.5,465.75,456.0,464.0,1.25,464.0,45376.0,218925.0
2019-04-03 00:00:00+00:00,463.0,472.75,463.0,470.5,7.0,471.0,59353.0,217399.0
2019-04-04 00:00:00+00:00,471.0,477.5,468.0,470.75,0.25,470.75,67792.0,214025.0
2019-04-05 00:00:00+00:00,469.0,469.5,464.25,467.75,3.0,467.75,83156.0,205527.0
2019-04-08 00:00:00+00:00,467.25,471.0,461.75,456.5,2.5,465.25,77349.0,185771.0
2019-04-09 00:00:00+00:00,462.0,462.5,456.25,459.5,5.75,459.5,79734.0,173487.0
2019-04-10 00:00:00+00:00,459.0,461.75,455.5,457.75,1.5,458.0,59642.0,158124.0
2019-04-11 00:00:00+00:00,457.0,462.5,456.75,461.75,2.5,460.5,73914.0,144186.0
2019-04-12 00:00:00+00:00,462.0,465.25,457.5,464.5,4.0,464.5,62724.0,126422.0
